QVD.LR04.numero-convenio;QVD.LR02.persona-numero;count(distinct[QVD.LR02.CruceLR02])
895;73325;1
899;1083915;1
909;538334;1
909;5195108;1
910;5149499;1
912;793036;1
912;1090313;1
912;5195108;1
914;431617;1
922;533859;1
924;95285;1
924;58310073;1
927;1090313;1
928;397833;1
929;24650322;1
929;58339687;1
930;830200;1
936;1305442;1
936;20211518;1
937;796046;1
946;1030745;1
951;364733;1
953;804939;1
955;881324;1
955;58290988;1
956;80684;1
956;143574;1
964;682344;1
964;796046;1
985;58745020;1
986;58750904;1
994;573419;1
998;364733;1
998;942822;1
1002;58330732;1
1013;733322;1
1017;678281;1
1018;364733;1
1019;76511;1
1019;756588;1
1022;58294760;1
1032;403490;1
1034;1030745;1
1035;661059;1
1035;678281;1
1035;1145241;1
1035;5385286;1
1045;499002;1
1049;681396;1
1051;484802;1
1051;535349;1
1051;538338;1
1062;875870;1
1063;1059224;1
1085;20207524;1
1091;747881;1
1108;117775;1
1108;434690;1
1167;5314119;1
1176;68999;1
1207;1112218;1
1208;76147;1
1208;1030745;1
1219;881324;1
1252;124737;1
1265;381384;1
1265;756588;1
1265;58303412;1
1297;65377;1
1297;872911;1
1309;65377;1
1310;58345507;1
1311;695813;1
1517;1165466;1
1520;143574;1
1570;58344826;1
1660;71526;1
1674;58324523;1
1675;1323992;1
1681;476151;1
1686;95285;1
1691;86118;1
1691;58302452;1
1695;86118;1
1695;1027405;1
1753;864147;1
1753;987877;1
1757;20211518;1
1770;20211518;1
1772;26241;1
1772;180616;1
1772;1004973;1
1772;1055918;1
1772;58321114;1
1790;117354;1
1790;5556665;1
1808;77100;1
1808;143574;1
1808;466424;1
1808;535349;1
1808;58290095;1
1819;58294760;1
1842;2470;1
1842;73325;1
1842;561957;1
1842;796046;1
1842;866525;1
1842;1129118;1
1842;1254712;1
1842;8235034;1
1842;58307658;1
1856;186973;1
1870;58289306;1
1899;1157465;1
1959;764137;1
2009;1003358;1
2021;58300640;1
2031;188031;1
2034;117775;1
2034;585892;1
2034;7059373;1
2047;830200;1
2076;143574;1
2076;740555;1
2076;20211518;1
2126;735875;1
2126;1135391;1
2218;108880;1
2236;157815;1
2236;20213535;1
2239;810256;1
2253;574187;1
2253;20211518;1
2275;423445;1
2275;521008;1
