character,degree
"""Dick-Follard""",2
"""Dick-Straw""",2
"""Dirk""",2
"""Drennan""",2
"""Eldon-Estermont""",2
"""Florian-the-Fool""",2
"""Frenya""",2
"""Fulk""",2
"""Gariss""",2
"""Garth-(Wolfs-Den)""",2
"""Gawen-Westerling""",2
"""Gendel""",2
"""Gerrick-Kingsblood""",2
"""Gorne""",2
"""Gorold-Goodbrother""",2
"""Guncer-Sunglass""",2
"""Guyard-Morrigen""",2
"""Gyles-Grafton""",2
"""Gynir""",2
"""Hallyne""",2
"""Heward""",2
"""Horas-Redwyne""",2
"""Humfrey-Hewett""",2
"""Husband""",2
"""Jommo""",2
"""Jon-Umber-(Smalljon)""",2
"""Jonos-Bracken""",2
"""Jonothor-Darry""",2
"""Joramun""",2
"""Joseth""",2
"""Josmyn-Peckledon""",2
"""Jyck""",2
"""Kedry""",2
"""Kindly-Man""",2
"""Kojja-Mo""",2
"""Koss""",2
"""Leaf""",2
"""Leona-Woolfield""",2
"""Lucas-Codd""",2
"""Lyonel-Corbray""",2
"""Roger-Ryswell""",2
"""Scar""",2
"""Theomore""",2
"""Torrhen-Stark""",2
"""Visenya-Targaryen""",2
"""Daeron-II-Targaryen""",2
"""Hayhead""",2
"""Harra""",2
"""Morra""",2
"""Ricasso""",2
"""Kraznys-mo-Nakloz""",2
"""Smiling-Knight""",2
"""Brusco""",2
"""Talea""",2
"""Ternesio-Terys""",2
"""Waif""",2
"""Sybelle-Glover""",2
"""Roose-Ryswell""",1
"""Sarella-Sand""",1
"""Shadd""",1
"""Shrouded-Lord""",1
"""Simon-Toyne""",1
"""Talbert-Serry""",1
"""Thistle""",1
"""Tion-Frey""",1
"""Rhaenys-Targaryen-(daughter-of-Rhaegar)""",1
"""Maekar-I-Targaryen""",1
"""Wynton-Stout""",1
"""Emmond""",1
"""Gormond-Goodbrother""",1
"""Greydon-Goodbrother""",1
"""Rus""",1
"""Denys-Darklyn""",1
"""Elbert-Arryn""",1
"""Owen-Merryweather""",1
"""Rossart""",1
"""Gelmarr""",1
"""Dancy""",1
"""Elys-Waynwood""",1
"""Gerald-Gower""",1
"""Franklyn-Fowler""",1
"""Timoth""",1
"""Arthor-Karstark""",1
"""Bellegere-Otherys""",1
"""Dobber""",1
"""Mad-Huntsman""",1
"""Meralyn""",1
"""Pate-(Old)""",1
"""Praed""",1
"""Ravella-Swann""",1
"""Umma""",1
"""Yorko-Terys""",1
"""Rolfe-the-Dwarf""",1
"""Torgon-Greyiron""",1
"""Corliss-Penny""",1
"""Daeron-I-Targaryen""",1
"""Denzo-Dhan""",1
"""Dolf""",1
"""Draqaz""",1
"""Dryn""",1
"""Farlen""",1
"""Fogo""",1
"""Galyeon-of-Cuy""",1
"""Garrett-Paege""",1
"""Gerold-Grafton""",1
"""Gormon-Tyrell""",1
"""Grazdan-mo-Eraz""",1
"""Grisel""",1
"""Gunthor-son-of-Gurn""",1
"""Haggon""",1
"""Hake""",1
"""Frenken""",1
"""Larraq""",1
"""Widower""",1
"""Hali""",1
"""Poxy-Tym""",1
"""Torghen-Flint""",1
"""Clarence-Crabb""",1
"""Jeyne-Heddle""",1
"""Selwyn-Tarth""",1
"""Lucifer-Long""",1
"""Donnel-Waynwood""",1
"""Masha-Heddle""",1
"""Moreo-Tumitis""",1
"""Mychel-Redfort""",1
"""Garth-Tyrell""",1
"""Mark-Mullendore""",1
"""Coratt""",1
"""Kurz""",1
"""Tarber""",1
"""Eroeh""",1
"""Ezzara""",1
"""Lynesse-Hightower""",1
"""Lysono-Maar""",1
"""Quaithe""",1
"""Rhaegel-Targaryen""",1
"""Yurkhaz-zo-Yunzak""",1
"""Lanna-(Happy-Port)""",1
"""Godric-Borrell""",1
"""Imry-Florent""",1
"""Matthos-Seaworth""",1
"""Eustace-Brune""",1
"""Hugh-Hungerford""",1
"""Rhaego""",1
"""Jacks""",1
"""Joss""",1
"""Maron-Greyjoy""",1
"""Porther""",1
"""Tobho-Mott""",1
"""Tregar""",1
"""Varly""",1
"""Wylla""",1
"""Watt""",1
"""Steffon-Varner""",1
"""Sawane-Botley""",1
"""Jonquil""",1
"""Murch""",1
"""Leonette-Fossoway""",1
"""Merrit""",1
"""Raymun-Redbeard""",1
"""Marghaz-zo-Loraq""",1
"""Mebble""",1
"""Joy-Hill""",1
"""Lewys-Piper""",1
"""Shitmouth""",1
"""Urswyck""",1
"""Matthar""",1
"""Othor""",1
"""Soren-Shieldbreaker""",1
"""Tom-Barleycorn""",1
"""Ulmer""",1
"""Zei""",1
"""Softfoot""",1
"""Torwold-Browntooth""",1
"""Quill""",1
"""Rosey""",1
"""Shortear""",1
"""Ragwyle""",1
"""Torbert""",1
"""Rugen""",1
"""Rolph-Spicer""",1
"""Tristifer-IV-Mudd""",1
"""Theobald""",1
"""Ulf-son-of-Umar""",1
"""William-Foxglove""",1
"""Willow-Witch-eye""",1
"""Wulfe""",1
"""Aegon-V-Targaryen""",1
"""Aemon-Targaryen-(Dragonknight)""",1
"""Aerys-I-Targaryen""",1
"""Ardrian-Celtigar""",1
"""Aron-Santagar""",1
"""Arson""",1
"""Arwyn-Oakheart""",1
"""Ashara-Dayne""",1
"""Azor-Ahai""",1
"""Bael-the-Bard""",1
"""Barsena""",1
"""Bartimus""",1
"""Black-Balaq""",1
"""Blane""",1
"""Bonifer-Hasty""",1
"""Brenett""",1
"""Bump""",1
"""Byam-Flint""",1
"""Camarron""",1
"""Captain-Myraham""",1
"""Captain-Myraham-Daughter""",1
"""Cedric-Payne""",1
"""Chataya""",1
"""Halys-Hornwood""",1
"""Harl""",1
"""Harras-Harlaw""",1
"""Harwood-Stout""",1
"""Hobber-Redwyne""",1
"""Hoster-Blackwood""",1
"""Hugh""",1
"""Hugo-Vance""",1
"""Jack-Be-Lucky""",1
"""Jaehaerys-I-Targaryen""",1
"""Jafer-Flowers""",1
"""Jeyne-Farman""",1
"""Joanna-Lannister""",1
"""Jon-Fossoway""",1
"""Kella""",1
"""Kerwin""",1
"""Kurleket""",1
"""Kyra""",1
"""Leo-Lefford""",1
"""Longwater-Pyke""",1
"""Lorent-Caswell""",1
"""Luton""",1
"""Lyanna-Mormont""",1
"""Malaquo-Maegyr""",1
"""Mallador-Locke""",1
"""Manfrey-Martell""",1
"""Martyn-Rivers""",1
"""Mord""",1
"""Morgo""",1
"""Munda""",1
"""Nage""",1
"""Old-Bill-Bone""",1
"""Pate-(whipping-boy)""",1
"""Ralf-(Limper)""",1
